PROBEID,SYMBOL
201940_at,CPD
201941_at,CPD
201942_s_at,CPD
201943_s_at,CPD
203041_s_at,LAMP2
203042_at,LAMP2
206067_s_at,WT1
209376_x_at,SCAF11
209892_at,FUT4
209893_s_at,FUT4
216953_s_at,WT1
217226_s_at,SFXN3
217743_s_at,TMEM30A
218499_at,STK26
218668_s_at,RAP2C
218669_at,RAP2C
200965_s_at,ABLIM1
201150_s_at,TIMP3
201904_s_at,CTDSPL
201906_s_at,CTDSPL
202599_s_at,NRIP1
202600_s_at,NRIP1
202765_s_at,FBN1
202766_s_at,FBN1
204187_at,GMPR
204304_s_at,PROM1
204612_at,PKIA
204753_s_at,HLF
204754_at,HLF
204755_x_at,HLF
204784_s_at,MLF1
205767_at,EREG
206116_s_at,TPM1
206470_at,PLXNC1
206471_s_at,PLXNC1
208614_s_at,FLNB
209493_at,PDZD2
210986_s_at,TPM1
210987_x_at,TPM1
213241_at,PLXNC1
