SYMBOL,GSM239338.CEL,GSM239339.CEL,GSM239340.CEL,GSM239341.CEL,GSM239342.CEL,GSM239371.CEL,GSM239492.CEL,GSM240427.CEL
ABLIM1,9.043629448236,9.91563049418925,9.143097398687381,9.522734919490722,8.95820360075,7.91929043198238,8.00207976113397,8.07692847902544
CPD,7.315405867461703,7.321006174268874,7.300423127690354,6.9550416614622055,7.214724107872122,7.8774750159626485,8.305291256666246,7.903815829125043
CTDSPL,8.520281095601575,8.69633996617242,8.51173949872884,8.2414666053801,8.615068542618848,7.639092015892401,7.196953106576776,7.756812824746294
EREG,9.27293796242647,9.78472261708761,8.69918873095104,10.0763373248249,10.0994611783649,5.4789194351717185,10.3273043266665,5.10799355615696
FBN1,7.5776809059526204,7.498398135759128,7.979376383205039,7.923716771977509,8.006611086574969,6.72202861625093,6.64404276012651,6.650147068573822
FLNB,9.06715161923319,9.35636083371746,9.12481541835667,9.220802783705633,8.71422558993455,8.204048373230421,8.08668804041931,8.879874419000439
FUT4,7.619873794854341,7.700804945747494,7.656153747129915,7.878942462905215,7.641385470627725,8.47553007016801,8.233939600368089,8.977476195216747
LAMP2,8.039344361947201,7.909793565118576,8.039800892381237,7.851721061788914,7.585089459529782,9.252344580762555,9.78236765931734,8.517880724752164
MLF1,7.8369158995301715,7.652689623186236,7.2888246383345905,6.496343887515585,6.680021534877101,6.3570263783621055,5.614898523074269,5.72535231631209
PDZD2,5.95499642682302,6.14258680855219,5.960559894087571,6.14798534467782,5.884025106719348,5.21776911147955,5.43593537754972,5.38654958333073
PROM1,9.313622777872537,9.38524487438722,8.92794709004438,9.540174000323221,8.70287472354995,5.508389552095458,5.321383176237902,6.176283541050039
RAP2C,6.14096532339883,6.16776450447426,6.3136776499002005,6.2571541420507515,6.3402421017518495,7.06768178382629,7.11008888017449,6.3937023936486685
STK26,8.28130143331756,8.60350893029137,8.726207085388209,8.572957666611071,8.629965691618219,9.40984138086114,9.38892377385196,8.778498637563711
TMEM30A,7.65956486227525,7.806923520799639,7.53198545421898,7.90688362828936,8.05866282540463,8.73534660816005,8.552329185787903,8.643100104738151
TPM1,8.347628718413853,8.169480711603732,8.879303933253063,8.546457375329517,9.250865477267672,6.764255417137193,6.412535681423607,6.4423747199319825
WT1,6.1712572260963,5.961689700239147,5.749420160329191,6.119835392558321,5.9565830709774055,7.2429629775667905,7.546295717140301,7.198635923546607
