SYMBOL,GSM239338.CEL,GSM239339.CEL,GSM239340.CEL,GSM239341.CEL,GSM239342.CEL,GSM1316693_KG1a.CEL,GSM1374598_KG1a.CEL
ABLIM1,7.924488795341316,8.488524614317509,8.21939818582418,8.377102814617244,8.153005731090238,7.214922235074863,7.150857104387032
CPD,7.010419350720456,7.004706317516894,6.880126474188025,6.648655031518639,7.052942887359315,8.200477869077641,7.904514897751562
CTDSPL,7.369878434016671,7.418759524843741,7.386329452454394,7.151187148343178,7.482763320066214,4.85464583456865,4.796408185956622
EREG,9.27293796242647,9.78472261708761,8.69918873095104,10.0763373248249,10.0994611783649,3.05189505450854,3.17435441087699
FBN1,7.09978090599514,7.145572559202289,7.391741907907639,7.3580819779001,7.532696590706285,5.247738896082245,5.264053991899685
FLNB,8.451205113495336,8.719937507709629,8.5376253263312,8.63540017408234,8.26326303140973,7.38900436133929,7.686823651235745
FUT4,7.14947728788372,7.02686147011055,7.03287557457933,7.11138610519217,7.04836033894658,8.29838852867927,8.02263941453626
LAMP2,7.829176043824825,7.33857911045355,7.354936157004616,7.204614888983897,6.908707446806459,9.072281490017918,9.282519390303396
MLF1,6.904665561495186,6.7715710893052,6.836309001892985,6.1957313648980055,6.250449131619085,4.993779683549935,5.013615499189536
PDZD2,5.95499642682302,6.14258680855219,5.960559894087571,6.14798534467782,5.884025106719348,4.1581132102007095,3.6248367584661096
PROM1,9.313631166295119,9.38524734802375,8.92803583710486,9.54017690055028,8.70287808383491,3.67687470087715,3.5522665347017206
RAP2C,6.140965186147599,6.16776450447426,6.313640021039599,6.25715162202497,6.3402423656250715,7.60918349108603,7.66875334871713
STK26,8.28130143331756,8.60350893029137,8.726207085388209,8.572957666611071,8.629965691618219,9.80699058587677,9.9273206531677
TMEM30A,7.65956486227525,7.806923520799639,7.53198545421898,7.90688362828936,8.05866282540463,9.04479605621077,8.87166673508118
TPM1,7.793234435059492,7.624157997546527,8.20641456576367,7.8577000041191125,8.503888504721587,6.729600286314918,6.905902748914375
WT1,6.171257225396365,5.96164038997699,5.749416709549651,6.119845288948295,5.95658177017363,7.9286261215954115,8.159761160868694
